date,time,number,abbr,sector,status,value
2004-02-11,10:01:54.401,CRJZ1Y-R,SHLM,Process Industries,MERGED,0.458954
2004-02-11,10:01:54.401,DG3K6D-R,WRLD,Finance,MERGED,0.45875277
2004-02-11,10:01:54.401,NFMPMG-R,IDXX,Health Technology,MERGED,0.45793857
2004-02-11,10:01:54.401,Q1K2VN-R,CHS,Retail Trade,MERGED,0.45750441
2004-02-11,10:01:54.401,VDPDV7-R,KIM,Finance,MERGED,0.45716537
2004-02-11,10:01:54.401,FPP2BC-R,PCL,Non-Energy Minerals,MERGED,0.4569109
2004-02-11,10:01:54.401,G6QSLG-R,BF.A,Consumer Non-Durables,MERGED,0.45638989
2004-02-11,10:01:54.401,FVDB8M-R,GVHR,Commercial Services,MERGED,0.45626057
2004-02-11,10:01:54.402,B5TNKK-R,WSTC.XX1,Technology Services,MERGED,0.45604145
2004-02-11,10:01:54.402,XQ6H9X-R,EKDKQ,Electronic Technology,MERGED,0.45596422
2004-02-11,10:01:54.402,T7CC6G-R,PRGS,Technology Services,MERGED,0.45497902
2004-02-11,10:01:54.402,TG4TLZ-R,YCC,Producer Manufacturing,MERGED,0.45340375
2004-02-11,10:01:54.402,RJ4MT7-R,AVHI.XX1,Consumer Durables,MERGED,0.45287344
2004-02-11,10:01:54.402,TBR1WQ-R,LPNT,Health Services,MERGED,0.4513788
2004-02-11,10:01:54.402,Q1QBWL-R,WERN,Transportation,MERGED,0.45090037
2004-02-11,10:01:54.402,QH6KJ2-R,WOLF,Electronic Technology,MERGED,0.4500657
2004-02-11,10:01:54.402,CHKL7S-R,LOW,Retail Trade,MERGED,0.44999042
2004-02-11,10:01:54.402,M65GSL-R,TRZ,Finance,MERGED,0.44991694
2004-02-11,10:01:54.402,DXV75Z-R,SII.XX1,Energy Minerals,MERGED,0.44924849
2004-02-11,10:01:54.402,LWYHC6-R,MMSI,Health Technology,MERGED,0.44849199
2004-02-11,10:01:54.402,F4T0RH-R,KSL.XX9,Distribution Services,MERGED,0.44787576
2004-02-11,10:01:54.402,GRRPDW-R,RX,Technology Services,MERGED,0.44688951
2004-02-11,10:01:54.403,N3CXK7-R,NDSN,Producer Manufacturing,MERGED,0.44661648
2004-02-11,10:01:54.403,BV52Y6-R,IDA,Utilities,MERGED,0.44557007
2004-02-11,10:01:54.403,QH68ZT-R,ZOLL,Health Technology,MERGED,0.44527185
2004-02-11,10:01:54.403,V613CM-R,CNMD,Health Technology,MERGED,0.4437433
2004-02-11,10:01:54.403,LQF1C9-R,QADB,Technology Services,MERGED,0.44290198
2004-02-11,10:01:54.403,KB74SS-R,HRC,Health Technology,MERGED,0.44248466
2004-02-11,10:01:54.403,RFW7K5-R,PSUNQ,Retail Trade,MERGED,0.44079197
2004-02-11,10:01:54.403,K38W6R-R,FICO,Technology Services,MERGED,0.44017601
2004-02-11,10:01:54.403,KDCD3Y-R,NSC,Transportation,MERGED,0.43993244
2004-02-11,10:01:54.403,SD84W1-R,BFS,Finance,MERGED,0.43991162
2004-02-11,10:01:54.403,R5RD6T-R,GPS,Retail Trade,MERGED,0.43840717
2004-02-11,10:01:54.403,T7BW90-R,RCRC,Consumer Durables,MERGED,0.43815323
2004-02-11,10:01:54.403,LX237L-R,BF.B,Consumer Non-Durables,MERGED,0.43801093
2004-02-11,10:01:54.403,BCJHVJ-R,MCRS,Technology Services,MERGED,0.43514843
2004-02-11,10:01:54.403,LWX4SY-R,SFYWQ,Energy Minerals,MERGED,0.43332631
2004-02-11,10:01:54.403,LZ621H-R,MDPEB,Consumer Services,MERGED,0.43107125
2004-02-11,10:01:54.403,G25H2V-R,CNW,Transportation,MERGED,0.42987676
2004-02-11,10:01:54.403,L9S4YJ-R,RYL,Consumer Durables,MERGED,0.42954951
2004-02-11,10:01:54.403,L8MWPF-R,FLYIQ,Transportation,MERGED,0.4286743
2004-02-11,10:01:54.404,LX1ND5-R,SHFL,Producer Manufacturing,MERGED,0.42575376
2004-02-11,10:01:54.404,M3WV29-R,SRT,Commercial Services,MERGED,0.42539835
2004-02-11,10:01:54.404,GFK6TW-R,EEP,Industrial Services,MERGED,0.42483245
2004-02-11,10:01:54.404,RQXL78-R,HSIC,Distribution Services,MERGED,0.42479393
2004-02-11,10:01:54.404,L32348-R,APU,Distribution Services,MERGED,0.42443578
2004-02-11,10:01:54.404,TWXW2R-R,COP,Energy Minerals,MERGED,0.42377904
2004-02-11,10:01:54.404,H8HR7X-R,BRC,Producer Manufacturing,MERGED,0.42303773
2004-02-11,10:01:54.404,S4DXZS-R,SJW,Utilities,MERGED,0.42279608
2004-02-11,10:01:54.404,MH3TRW-R,ANDV,Energy Minerals,MERGED,0.42261582
2004-02-11,10:01:54.404,D9JX1G-R,WGO,Consumer Durables,MERGED,0.42121461
2004-02-11,10:01:54.404,WGRTJK-R,SXI,Producer Manufacturing,MERGED,0.41991571
2004-02-11,10:01:54.404,V1C1QH-R,TRK,Consumer Services,MERGED,0.41976343
2004-02-11,10:01:54.404,V83VWD-R,GTM,Industrial Services,MERGED,0.41935417
2004-02-11,10:01:54.404,P36M94-R,ORLY,Retail Trade,MERGED,0.41777557
2004-02-11,10:01:54.404,T8LXRN-R,BRP.XX2,Finance,MERGED,0.4176824
2004-02-11,10:01:54.404,P5BRF6-R,WBSN,Technology Services,MERGED,0.41643466
2004-02-11,10:01:54.404,TLVX72-R,JEF.XX2,Finance,MERGED,0.41300883
2004-02-11,10:01:54.404,C23CJ7-R,AOT,Health Technology,MERGED,0.41202786
2004-02-11,10:01:54.404,DH6YTP-R,LABH.XX1,Commercial Services,MERGED,0.41094132
2004-02-11,10:01:54.404,CRHZ50-R,BPT,Miscellaneous,MERGED,0.41054337
2004-02-11,10:01:54.405,NJ0MMV-R,OTEX,Technology Services,MERGED,0.40963201
2004-02-11,10:01:54.405,DNXNVJ-R,TKR,Producer Manufacturing,MERGED,0.40954246
2004-02-11,10:01:54.405,TQ7P1D-R,MTLG,Electronic Technology,MERGED,0.40529527
2004-02-11,10:01:54.405,BV4P4T-R,FE,Utilities,MERGED,0.4044529
2004-02-11,10:01:54.405,B14762-R,RGR,Consumer Durables,MERGED,0.40392184
2004-02-11,10:01:54.405,XHD46K-R,MMC,Finance,MERGED,0.39979723
2004-02-11,10:01:54.405,D8D820-R,OMC,Commercial Services,MERGED,0.39852211
2004-02-11,10:01:54.405,D403D7-R,RSHCQ,Retail Trade,MERGED,0.39785539
2004-02-11,10:01:54.405,T6CPQP-R,ODFL,Transportation,MERGED,0.39729629
2004-02-11,10:01:54.405,VYR23C-R,AXE,Distribution Services,MERGED,0.39610751
2004-02-11,10:01:54.405,DR9KSW-R,PETM,Retail Trade,MERGED,0.39556831
2004-02-11,10:01:54.405,PRGQ6L-R,SPGI,Commercial Services,MERGED,0.39541906
2004-02-11,10:01:54.405,N5PDXB-R,BRY.XX1,Energy Minerals,MERGED,0.3952557
2004-02-11,10:01:54.405,GYGJPV-R,SEM.XX9,Health Services,MERGED,0.39490093
2004-02-11,10:01:54.405,CRHRRT-R,BRK.A,Finance,MERGED,0.39349779
2004-02-11,10:01:54.405,M9FD89-R,NEV.XX1,Energy Minerals,MERGED,0.39219378
2004-02-11,10:01:54.405,VS0PTX-R,EFII,Producer Manufacturing,MERGED,0.39122341
